extension,count,bytes
(no ext),21858,281490889
.js,12914,110740947
.ts,3956,25559940
.map,2092,21094385
.node,6,17421178
.json,2266,13654988
.md,1391,9811202
.mjs,559,8332404
.cjs,264,6088359
.cts,177,873263
.csv,22,765356
.flow,7,744556
.yaml,9,638405
.mts,316,518106
.txt,49,480215
.html,12,469036
.css,16,348450
.ttf,2,160680
.tsbuildinfo,6,142428
.png,10,141357
.yml,228,137450
.out,6,129411
.lock,3,105470
.sh,51,68368
.markdown,12,51788
.tsx,28,51515
.jst,25,49815
.wasm,1,48693
.svg,4,38499
.def,5,16762
.ico,1,15086
.closure-compiler,1,11358
.jsonl,2,7369
.example,7,7354
.zsh,4,6014
.py,2,4772
.ps1,6,4653
.php,1,4613
.bsd,3,3765
.hbs,8,3211
.1,1,2888
.applescript,1,2691
.bnf,4,2476
.mdown,1,2337
.mit,2,2176
.tmpl,1,1999
.conf,2,1716
.sql,3,1439
.drawio,1,1298
.esprima,1,1231
.apache2,2,1172
.license,1,1061
.ipynb,1,942
.log,4,852
._js_,1,796
.zip,2,746
.service,1,678
.nix,1,459
.local,1,442
.coffee,2,1
